MZ	Intensity	Resolution	S/N
497.71477	273063	479641	1.2	
497.72688	253129	482028	1.0	
497.73189	257897	463187	1.0	
497.73429	363913	449848	2.3	
497.73731	511050	198394	4.0	
497.74127	226778	319972	0.7	
497.74914	285771	372471	1.4	
497.75641	273932	387359	1.2	
497.76020	316460	352627	1.7	
497.76462	264725	219418	1.1	
497.77198	335085	332167	1.9	
497.77506	282670	331151	1.3	
497.77817	378110	238642	2.4	
497.78413	295839	291339	1.5	
497.78996	328623	318919	1.9	
497.79320	344304	173702	2.0	
497.79810	438672	300660	3.1	
497.81090	309057	346987	1.6	
497.81510	237586	219181	0.8	
497.81695	249206	163747	0.9	
497.82674	285315	276331	1.4	
497.82959	248179	450558	0.9	
497.83231	237492	565870	0.8	
497.83472	246644	527832	0.9	
497.83741	387204	231469	2.5	
497.84204	234909	303184	0.8	
497.85227	293846	457036	1.5	
497.86942	382167	271784	2.5	
497.88028	285497	308595	1.4	
497.89412	266770	238798	1.1	
497.89853	270442	333889	1.2	
497.90186	240843	208211	0.8	
497.90779	327115	318407	1.8	
497.91089	296956	350729	1.5	
497.91563	287804	316454	1.4	
497.91906	319708	333174	1.8	
497.92781	341837	305933	2.0	
497.93456	313806	309038	1.7	
497.93995	240943	419229	0.8	
497.94341	364079	243196	2.3	
497.95573	327792	296022	1.8	
497.96949	355130	202933	2.2	
497.98142	371427	297943	2.4	
497.98582	268843	269457	1.2	
497.98917	414292	179148	2.9	
497.99336	240404	228823	0.8	
497.99484	242398	349317	0.8	
497.99755	396837	187484	2.7	
498.00538	323125	323611	1.8	
498.01030	260910	260682	1.1	
498.01285	281606	277831	1.3	
498.02055	315071	207932	1.7	
498.02915	258184	529960	1.0	
498.03185	424808	204878	3.0	
498.03629	241913	461259	0.8	
498.04107	299865	253909	1.5	
498.05096	278778	237794	1.3	
498.05918	442347	279862	3.2	
498.08390	2871470	210548	31.7	
498.08824	418574	348466	2.9	
498.10940	277856	388867	1.3	
498.11262	509616	217800	4.0	
498.11899	233801	351863	0.7	
498.12497	278386	312249	1.3	
498.12830	290778	197037	1.4	
498.13529	316851	343126	1.7	
498.13806	419091	262696	2.9	
498.15158	230324	271269	0.7	
498.15807	295317	416750	1.5	
498.16615	318982	311982	1.7	
498.17072	373206	269750	2.4	
498.17456	284727	330751	1.3	
498.17788	438471	174313	3.1	
498.18375	434744	124871	3.1	
498.18861	383288	293935	2.5	
498.20044	301753	346549	1.5	
498.20470	295642	380863	1.5	
498.21649	347707	290098	2.1	
498.21981	258971	356151	1.0	
498.22853	260892	465951	1.1	
498.23283	656797	233297	5.7	
498.24000	355550	300597	2.2	
498.24696	492062	157471	3.8	
498.25229	267455	453475	1.1	
498.26477	322560	339947	1.8	
498.26778	256232	278930	1.0	
498.27103	236225	574191	0.8	
498.27416	337369	177852	2.0	
